gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
ENSDARG00000009494	8.98	6.86	10.65	10.98	8.2	7.47	10.28	12.99	13.48	12.03	10.86	10.85
ENSDARG00000009499	27.09	7.89	23.58	20.15	18.99	23.97	26.33	14.31	14.05	17.12	17.96	21.29
ENSDARG00000009505	23.9	73.85	28.19	28.18	24.66	34.13	25.64	27.12	25.33	28.02	31.35	37.97
ENSDARG00000009511	0	0	0	0	0.08	0.23	0	0.07	0.08	0	0	0
ENSDARG00000009524	12.02	3.68	14.58	14.05	11.74	13.36	15.45	11.59	11.41	13.3	18.04	14.59
ENSDARG00000009525	107.58	128.4	86.78	68	74.81	126.91	76.74	71.5	65.91	70.53	76.63	55.55
ENSDARG00000009534	13.4	11.71	12.9	27.44	19.86	10.41	22.28	35.56	38.44	27.13	25.8	19.55
ENSDARG00000009544	0	7.88	0.07	0.6	0.79	0.07	53.11	10.8	180.07	0.06	0.88	0.13
ENSDARG00000009549	24.78	11.84	23.74	15.83	19.02	27.22	25.15	14.45	21.88	13.82	17.85	17.89
ENSDARG00000009550	0.13	0	0	0	0	0.49	0.17	1.11	0.29	0.06	0.17	0.06
ENSDARG00000009553	340.37	435.52	381.8	345.38	278.58	514.37	264.05	236.46	151.12	249.26	279.53	249.89
ENSDARG00000009557	1.63	2.07	1.67	1.93	1.05	4.61	1.93	2.21	2.04	1.4	2.6	1.55
ENSDARG00000009567	30.12	7.08	20.88	26.47	26.35	23.46	18.52	17.02	16.03	14.33	13.66	20.93
ENSDARG00000009568	3.7	9.73	4.23	13.85	8.5	3.44	3.72	9.96	4.98	11.11	11.02	7.97
ENSDARG00000009585	64.74	54.23	63.1	50.78	50.34	72.92	50.57	55.5	57.35	45.57	50.11	52.84
ENSDARG00000009594	31.69	27.9	30.7	22.89	19.68	33.75	21.09	14.3	10.82	41.82	33.04	32.01
ENSDARG00000009607	6.48	11	5.25	7.53	8.35	7.19	7.53	8.41	9.52	6.39	6.67	7.38
ENSDARG00000009610	4.01	3.51	2.4	2.87	3.62	1.4	1.7	4.58	8.96	5.1	2.78	3.54
ENSDARG00000009612	0	0	0.28	0	0	0	0	0	0.09	0	0	0.25
ENSDARG00000009624	0.91	0.92	1.07	2.09	2.73	2.24	0.7	1.93	1.12	2.2	1.74	2.2
ENSDARG00000009626	30.79	8.43	25.26	24.85	37.68	18.75	32.04	25.71	21.11	27.67	30.73	42.45
ENSDARG00000009629	7.46	4.68	10.75	10.7	9.88	5.04	6.98	11.79	10.65	13.86	9.3	8.49
ENSDARG00000009637	2.2	0.07	0.1	0	0.38	0.2	0.04	0.7	0.42	0.04	1.41	0.71
ENSDARG00000009640	71.07	175.74	78.77	76.97	74.43	81.25	93.56	102.66	90.04	85.45	85.95	87.96
ENSDARG00000009653	3.28	8.74	2.25	6.67	5.95	2.85	3.29	7.15	4.63	2.53	3.99	5.32
ENSDARG00000009657	31.57	56.86	32.67	32.98	30.02	34.87	24.01	29.2	19.58	32.12	29.81	31.29
ENSDARG00000009677	196.1	181.93	234.78	46.6	44.1	223.16	119.49	34.56	56.19	37.71	103.78	36.96
ENSDARG00000009681	9.63	9.65	9.82	7.81	8.29	13.68	10.51	8.47	11.17	11.03	9.68	9.08
ENSDARG00000009685	6.29	6.23	6.83	6.09	7.22	5.22	3.53	7.81	4.07	9.78	6.52	7.66
ENSDARG00000009689	15.29	11.5	14.47	17.63	28.22	12.34	26.87	19.3	15.97	26.93	28.4	22.25
ENSDARG00000009693	10.52	4.26	6.33	8.3	7.6	4.27	7.49	11.15	6.6	8.4	6.11	7.3
ENSDARG00000009702	0.7	0.46	2.05	0.51	1.43	0.37	2.73	4.82	7.9	0.91	0.59	0.81
ENSDARG00000009724	18.19	27.03	22.71	26.3	32.59	16.79	33.4	67.75	46.57	33.34	37.19	40.1
ENSDARG00000009727	0.32	0	1.1	0.59	0.46	0.98	0.49	0.56	0.2	0.61	0.2	0.57
ENSDARG00000009733	1.09	0.08	1.23	1.07	2.6	0.61	2.62	1.79	2.45	2.3	2.59	2.04
ENSDARG00000009735	21.42	18.23	19.96	15.3	18.11	21.27	17.96	13.95	17.39	14.95	16.43	12.68
ENSDARG00000009738	9.61	0.21	6.32	8.39	11.41	5.59	14.16	7.56	9.62	10.83	7.27	14.16
ENSDARG00000009740	38.95	46.18	42.29	32.52	36.14	40.31	33.74	29.4	31.39	31.57	39.07	30.2
ENSDARG00000009743	1.18	1.48	1.28	3.5	1.9	0.79	0.74	2.28	3.09	2.93	1.97	2.67
ENSDARG00000009745	13.22	14.86	12.86	10.19	12.16	15.95	13.59	15.73	9.94	11.12	13.13	10.66
ENSDARG00000009748	3.07	5.16	1.82	3.63	2.8	3.89	2.68	3.44	2.53	3.16	1.05	3.24
ENSDARG00000009753	52.7	146.28	78.47	57.63	47.25	87.53	65.62	69.68	54.25	66.63	82.01	57.23
ENSDARG00000009754	67.24	45.53	65.78	46.03	43.21	98.81	46.43	37.76	41.53	35.46	46.62	38.01
ENSDARG00000009764	21.92	8.29	19.62	24.6	20.68	22.42	15.39	19.02	11.65	14.52	16.41	17.64
ENSDARG00000009771	81.89	122.04	74.92	76.04	67.75	93.74	65.48	71.1	57.24	80.26	76.93	69.82
ENSDARG00000009779	61.72	210.05	47.02	45.14	37.38	108.83	67.93	53.2	58.17	59.83	74.91	88.94
