gene_id	tpm_WT_1	tpm_WT_2	tpm_WT_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000002745	39.73	40.09	66.57	56.53	33.61	37.85
ENSDARG00000002748	3.62	13.25	3.38	6.05	4.29	4.56
ENSDARG00000002750	9.22	7.93	9.81	10.24	12.8	13.27
ENSDARG00000002754	9.87	8.09	12.43	13.69	7.92	8.08
ENSDARG00000002758	38.01	42.56	29.86	39.95	33.66	58.86
ENSDARG00000002760	0.8	0.31	0.35	0.18	0.28	0
ENSDARG00000002764	0	0	0	0	0	0
ENSDARG00000002768	1.09	0.23	2.82	0.78	0	0.46
ENSDARG00000002771	2.52	3.08	1.81	1	0.49	0.8
ENSDARG00000002779	3.52	3.93	2.28	5.01	4.06	15.64
ENSDARG00000002787	50.81	46.76	59.6	45.47	58.38	37.36
ENSDARG00000002790	324.07	338.34	320.93	317.33	303.93	330.27
ENSDARG00000002791	218.96	272.48	199.04	174.47	184.89	155.82
ENSDARG00000002792	27.23	25.82	31.87	33.64	30.89	24.1
ENSDARG00000002795	20.61	16.68	17.58	15.47	13.23	14.66
ENSDARG00000002798	19.43	21.72	19.38	19.55	20.1	24.97
ENSDARG00000002816	31.44	16.54	40.78	30.93	33.79	1.7
ENSDARG00000002826	3.28	5.04	3.66	4.3	5.11	10.38
ENSDARG00000002830	5.08	7.41	6.48	8.38	7.4	6.41
ENSDARG00000002831	0.07	0	0.27	0.24	0.11	0.03
ENSDARG00000002840	74.76	71.03	67.06	87.14	80.27	68.43
ENSDARG00000002847	3.09	3.74	2.48	3.59	4.29	0.97
ENSDARG00000002872	12.48	14.84	10.56	13.29	17.25	13.65
ENSDARG00000002877	33.9	27.59	29.37	22.01	29.11	25.73
ENSDARG00000002880	34.14	26.46	22.53	30.68	32.41	28.63
ENSDARG00000002894	24.37	29.45	19.99	23.37	21.7	20.62
ENSDARG00000002897	24.47	25.66	20.81	22.2	24.26	16.87
ENSDARG00000002909	0.07	1.14	0	0.2	0.74	0.07
ENSDARG00000002912	72.55	74.18	74.65	82.69	74.85	66.94
ENSDARG00000002916	22.61	15.48	18.66	16.42	21	10.56
ENSDARG00000002917	0	0	0	0.08	0.08	0
ENSDARG00000002933	1.53	3.66	6.06	0.99	2.72	2.21
ENSDARG00000002937	0.4	1.02	0.47	0.1	0.23	0
ENSDARG00000002945	5.62	8.62	6.02	4.57	5.39	3.91
ENSDARG00000002947	14.83	13.88	13.08	15.48	13.66	12.58
ENSDARG00000002949	88.2	84.85	75.61	99.23	87.21	106.75
ENSDARG00000002952	4.1	3.23	3.86	2.42	2.16	1.38
ENSDARG00000002956	22.5	14.57	23.78	10.64	14.67	4.95
ENSDARG00000002959	0.22	0	0.11	0.52	0.38	0
ENSDARG00000002967	57.07	54.49	46.45	76.77	98.88	75.44
ENSDARG00000002968	0	0	0.07	0	0.17	0
ENSDARG00000002970	252.36	227.24	224.62	226.16	248.03	258.46
ENSDARG00000002971	24.24	16.19	17.07	13.78	18.88	11.97
ENSDARG00000002986	8.02	11.13	10.06	8.01	5.4	8.49
ENSDARG00000002988	3.36	4.47	0.79	6.49	0.37	1.52
ENSDARG00000002991	4.45	4.68	5.42	4.94	3.68	4.67
ENSDARG00000002994	20.25	20.49	22.7	18.92	21.49	26.57
ENSDARG00000003008	62.99	67.33	92.77	77.41	97.52	72.44
ENSDARG00000003017	78.64	109.04	89.17	89.08	74.37	84.16
ENSDARG00000003020	100.52	115.8	69.46	121.72	95.1	78.99
ENSDARG00000003021	9.25	8.85	10.59	10.11	7.98	7.53
ENSDARG00000003022	3.03	4.26	3.54	5.56	3.92	1.54
ENSDARG00000003027	8.1	7.43	7.47	8.57	9.5	9.14
ENSDARG00000003032	290.73	256.58	334.32	299.81	334.29	297.24
ENSDARG00000003035	185.58	161.75	156.93	146.01	165.14	115.67
ENSDARG00000003041	9.76	8.23	7.98	4.93	7.12	6.29
ENSDARG00000003046	12.93	10.34	13.18	10.26	12.72	8.9
ENSDARG00000003054	5.41	2.08	8.47	3.75	5.34	2.13
ENSDARG00000003058	27.46	26.98	19	22.62	21.67	39.9
ENSDARG00000003061	9.19	8.9	10.66	8.17	7.57	4.52
ENSDARG00000003068	6.6	8.92	6.72	5.29	9.5	3.92
ENSDARG00000003069	4.29	4.17	3.66	5.81	4.93	6.63
ENSDARG00000003077	0	0.14	0	0	0	0
ENSDARG00000003081	6.87	3.51	3.69	5.16	6.78	3.59
ENSDARG00000003084	17.48	13.56	16.44	14.47	17.25	8.94
ENSDARG00000003085	32.53	25.31	30.97	31.31	34.76	12.86
ENSDARG00000003087	19.34	20.21	17.09	21.94	21.11	16.53
ENSDARG00000003091	0	1.16	0	0.32	0	0.14
ENSDARG00000003098	47.43	47.82	48.06	50.97	59.81	58.85
ENSDARG00000003109	113.62	89.59	101.72	101.78	88.47	63.09
ENSDARG00000003113	10.08	11.84	10.54	9.26	24.82	9.35
ENSDARG00000003127	186.21	161.38	162.4	235.93	230.47	145.19
ENSDARG00000003132	34.88	31.62	13.28	15.82	8.09	32.47
ENSDARG00000003142	23.14	21.7	18.3	9.02	15.84	71.57
ENSDARG00000003144	11.61	8.69	10.39	9.36	9.19	3.74
ENSDARG00000003146	32.62	29.39	20.45	37.86	27.62	23.11
ENSDARG00000003151	785.33	656.07	539.58	643.54	592.94	652.87
ENSDARG00000003153	41.76	46.16	43.37	46.28	41.89	46.92
ENSDARG00000003157	4.3	4.73	5.53	6.11	6.31	7.07
ENSDARG00000003165	6.16	6.23	7.89	5.89	8.58	2.35
ENSDARG00000003167	26.27	25.94	30.75	32.24	29.67	26.99
ENSDARG00000003169	352.43	233.53	312.45	365.89	350.05	146.26
ENSDARG00000003175	18.64	23.81	24.02	18.62	18.25	18.88
ENSDARG00000003181	0	0.13	0	0	0	0
ENSDARG00000003189	98.93	93.06	86.44	103.88	125.02	86.56
ENSDARG00000003193	7.57	0.92	8.6	10.46	0.78	0.18
ENSDARG00000003197	4.8	3	8.03	1.2	0	1.71
ENSDARG00000003200	0.64	0.79	1.31	0.56	1.89	0.14
ENSDARG00000003203	0	0.07	0	0.08	0.15	0
ENSDARG00000003205	18.83	17.33	21.24	18.68	15.46	15.21
ENSDARG00000003206	98.05	103.3	88.85	94.05	112.15	119.29
ENSDARG00000003207	30.09	21.37	19.24	18.41	23.92	26.45
ENSDARG00000003208	4.01	4.05	5.54	3	5.06	4.25
ENSDARG00000003213	32.67	31.68	27.36	38.49	35.37	30.07
ENSDARG00000003216	74.28	77.5	77.61	72.68	39.58	41.1
ENSDARG00000003217	6.58	10.27	4.83	7.78	5.9	2.68
ENSDARG00000003219	1.46	1.35	1.44	1.46	3.18	0.65
ENSDARG00000003229	0	0.15	0	0	0	0
ENSDARG00000003235	28.67	29.13	24.69	35.9	31.77	35.4
ENSDARG00000003244	41.6	44.56	46.15	53.36	45.68	48.36
ENSDARG00000003250	24.44	17.77	29.56	25.67	32.68	12.03
ENSDARG00000003251	12.64	9.09	9.86	6.06	11.23	3.05
ENSDARG00000003257	9.33	11.7	9.6	13.91	13.84	16.06
ENSDARG00000003259	1.11	1.88	2.43	7.74	2.4	0.17
ENSDARG00000003269	134.21	112.87	134.28	155.08	161.05	72.57
